sparm->C: 0.100000
Reading training examples...feature dimension: 69
total utterence:10 done
Iter 232: *(NumConst=107, SV=74, CEps=1.0681, QPEps=0.3459)
Iter 233: *(NumConst=108, SV=74, CEps=1.1666, QPEps=0.4088)
Iter 234: *(NumConst=108, SV=74, CEps=0.8877, QPEps=0.4010)
Iter 235: *(NumConst=109, SV=75, CEps=1.0081, QPEps=0.4237)
Iter 236: *(NumConst=109, SV=76, CEps=0.9432, QPEps=0.4335)
Iter 237: *(NumConst=110, SV=77, CEps=1.0784, QPEps=0.4250)
Iter 238: *(NumConst=110, SV=78, CEps=0.8273, QPEps=0.3974)
Iter 239: *(NumConst=110, SV=78, CEps=0.9549, QPEps=0.3880)
Iter 240: *(NumConst=110, SV=77, CEps=1.0224, QPEps=0.4124)
Iter 241: *(NumConst=111, SV=78, CEps=0.9293, QPEps=0.3740)
Iter 242: *(NumConst=112, SV=78, CEps=0.8380, QPEps=0.3910)
Iter 243: *(NumConst=113, SV=79, CEps=0.9032, QPEps=0.4092)
Iter 244: *(NumConst=114, SV=79, CEps=0.9266, QPEps=0.3827)
Iter 245: *(NumConst=114, SV=80, CEps=0.7499, QPEps=0.3673)
Iter 246: *(NumConst=115, SV=81, CEps=1.0067, QPEps=0.3583)
Iter 247: *(NumConst=116, SV=81, CEps=0.8575, QPEps=0.3689)
Iter 248: *(NumConst=116, SV=82, CEps=0.7351, QPEps=0.3565)
Iter 249: *(NumConst=116, SV=82, CEps=0.8933, QPEps=0.3336)
Iter 250: *(NumConst=115, SV=82, CEps=0.8544, QPEps=0.3673)
Iter 251: *(NumConst=115, SV=81, CEps=0.7872, QPEps=0.3335)
Iter 252: *(NumConst=115, SV=82, CEps=0.7527, QPEps=0.3325)
Iter 253: *(NumConst=115, SV=83, CEps=0.7214, QPEps=0.3320)
Iter 254: *(NumConst=116, SV=83, CEps=0.8564, QPEps=0.3070)
Iter 255: *(NumConst=114, SV=83, CEps=0.6673, QPEps=0.3123)
Iter 256: *(NumConst=114, SV=84, CEps=0.7679, QPEps=0.3314)
Iter 257: *(NumConst=115, SV=84, CEps=0.7528, QPEps=0.3244)
Iter 258: *(NumConst=116, SV=84, CEps=0.7545, QPEps=0.3192)
Iter 259: *(NumConst=115, SV=85, CEps=0.6814, QPEps=0.3042)
Iter 260: *(NumConst=116, SV=85, CEps=0.7510, QPEps=0.2935)
Iter 261: *(NumConst=117, SV=86, CEps=0.7103, QPEps=0.3237)
Iter 262: *(NumConst=116, SV=86, CEps=0.6649, QPEps=0.3039)
